Compound,Compound ID,Adducts,Formula,Score,Mass Error (ppm),Isotope Similarity,Theoretical Isotope Distribution,Description,m/z,Charge,Retention time (min),Anova (p),q Value,Max Fold Change,,Endogenous and blood,
0.70_297.2393m/z,HMDB0039984,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"3,5-Dimethyl-2-(2-propenyl)pyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039985,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"2,3-Dimethyl-5-(2-propenyl)pyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039986,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"2,5-Dimethyl-3-(1-propenyl)pyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039987,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"3,5-Dimethyl-2-(1-propenyl)pyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0039988,2M+H,C9H12N2,27.2,107.7264265,92.76641332,100 - 10.6 - 0.508,"2,3-Dimethyl-5-(1-propenyl)pyrazine",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0094681,M+H-H2O,C18H38O2Si,26.4,-68.53134338,77.66660256,100 - 25.1 - 6.67 - 0.982,Trimethylsilyl n-pentadecanoic acid,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0015375,M+K,C16H38N2+2,26.1,-105.9819534,85.83449709,100 - 18.5 - 1.61,Decamethonium,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0032995,M+H-H2O,C20H28NO2,25.6,97.27797337,82.16339733,100 - 22.4 - 2.8 - 0.254,2-Undecyl-4(1H)-quinolinone N-oxide,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0035075,M+H,C17H28O4,25.4,112.2421671,84.75692106,100 - 18.9 - 2.5 - 0.249,Tanacetol B,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0038798,M+H,C17H28O4,25.4,112.2421671,84.75692106,100 - 18.9 - 2.5 - 0.249,"(1(10)E,4a,5E)-1(10),5-Germacradiene-12-acetoxy-4,11-diol",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0013228,M+K,C15H32NO2+,25.2,127.0873171,86.65718669,100 - 17 - 1.77 - 0.138,Decanoylcholine,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0041889,M+NH4,C13H21N5O2,25.2,128.7079321,87.3694675,100 - 16.2 - 1.64 - 0.125,Etamiphylline,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0072858,M+Na,C15H30O4,25,130.013877,86.57708639,100 - 16.7 - 2.13 - 0.201,MG(0:0/i-12:0/0:0),297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0072860,M+Na,C15H30O4,25,130.013877,86.57708639,100 - 16.7 - 2.13 - 0.201,MG(i-12:0/0:0/0:0),297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0072863,M+Na,C15H30O4,25,130.013877,86.57708639,100 - 16.7 - 2.13 - 0.201,MG(12:0/0:0/0:0),297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0072869,M+Na,C15H30O4,25,130.013877,86.57708639,100 - 16.7 - 2.13 - 0.201,MG(0:0/12:0/0:0),297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0040153,2M+H,C7H16OS,24.8,160.8224672,90.39939038,100 - 8.59 - 5.05 - 0.377,R-3-(Methylthio)-1-hexanol,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0002214,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,Cuminaldehyde,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0030837,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,Anethole,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0031616,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,4-Phenyl-3-buten-2-ol,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0032014,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,"2,3,6-Trimethylbenzaldehyde",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0032015,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,Duryl aldehyde,297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
0.70_297.2393m/z,HMDB0032016,2M+H,C10H12O,24.6,183.5903611,92.24175323,100 - 11 - 0.751,"2,4,6-Trimethylbenzaldehyde",297.2392818,1,0.701483333,0.002924491,0.006147598,1.323506397,,,
